company_name,work_permits
Scania Cv Aktiebolag,1162
Tata Consultancy Services Sverige Aktiebolag,1117
Karolinska Institutet,255
Internationella Engelska Skolan I Sverige Ab,159
Infosys Limited Indien Filial,122
Ernst & Young Aktiebolag,113
Kth Royal Institute Of Technology,111
Volvo Personvagnar Aktiebolag,106
Northvolt Ab,97
Pongpower Ab,94
Kpmg Ab,80
Huawei Technologies Sweden Ab,80
Northvolt Ett Ab,77
Region Stockholm,74
Öhrlings Pricewaterhousecoopers Ab,68
Alten Sverige Aktiebolag,68
Minnovation International Ab,61
"Ltimindtree Sverige, Filial Till Ltimindtree Lim",58
Scandinavian Airlines System Denmark -Norway-Swe,57
Stockholms Universitet,56
Åf-Industry Ab,51
Sellhelp Ab,50
Deloitte Ab,49
Stockholm University,49
Max Burgers Aktiebolag,48
Electrolux Appliances Aktiebolag,47
Hemfrid I Sverige Ab,45
Alfa Laval Technologies Ab,43
Pressens Morgontjänst Kb,39
Mentimeter Ab (Publ),39
"Wipro Sweden Filial Till Wipro Ltd, Indien",39
Oriflame Cosmetics Ab,38
Alstom Rail Sweden Ab,36
Karolinska Institute,33
Capgemini Engineering Sverige Ab,31
Kungliga Operan Aktiebolag,31
Hitachi Energy Sweden Ab,30
Northvolt Systems Ab,29
Länsförsäkringar Ab (Publ),29
Pramit Construction Filial,29
Kungliga Tekniska Högskolan,28
Knowit Connectivity Ab,27
Attendo Sverige Ab,26
Folktandvården Stockholms Län Ab,25
Oneflow Ab,24
Netlight Consulting Ab,24
Knightec Aktiebolag,23
H2gs Ab,23
Samsung Electronics Nordic Aktiebolag,23
Come On Stockholm Ab,22
Resolution Games Ab,22
Snow Software Ab,22
E & E Ventilation Stockholm Ab,22
Sushi Centralen Ab,22
Randstad Ab,22
Mckinsey & Company Service Ab,22
Rebtel Networks Ab,22
Transtema Network Services Ab,21
Sweco Sverige Ab,21
Abb Ab,21
Paradox Interactive Ab (Publ),21
Astrazeneca Ab,21
Gyllene M:N Ab,21
Dek Technologies Sweden Ab,21
Giesecke+devrient Mobile Security Sweden Ab,21
Ica Sverige Ab,20
Rise Research Institutes Of Sweden Ab,20
Acne Studios Ab,20
Majority Sweden Ab,20
Sinch Sweden Ab,19
Telenor Sverige Aktiebolag,19
Platform 24 Healthcare Ab,19
Precis Digital Ab,19
Qliro Ab,19
Tieto Sweden Ab,19
Telia Sverige Ab,18
Avl Mtc Motortestcenter Ab,18
Jour Bemanning I Sverige Ab,18
Blocket Ab,18
Google Sweden Ab,18
Xylem Water Solutions Global Services Ab,18
If Skadeförsäkring Ab (Publ),18
Voi Technology Ab,17
Mckh Gipsputs Ab,17
Cc Service Ab,17
Digital Route Ab,17
Tobii Ab,17
10 Chambers Ab,17
The Boston Consulting Group Nordic Ab,17
Kanitas Ab,16
Anocca Ab,16
Soltia Ab,16
Arrowhead Game Studios Ab,16
New Starbreeze Studios Ab,16
"Larsen & Toubro Infotech Sverige, Fi Lial T Lars",16
Tradedoubler Aktiebolag,16
Betsson Technologies Ab,15
Btr Personnel Services Ab,15
Apoteket Ab,15
Fnz (Europe) Designated Activity Company Filial,15
Scania Cv Ab,15
Södra Vanadistvätten Ab,15
Rengörare Näslund Aktiebolag,15
Evolution Services Sweden Ab,15
Bosphorus Aktiebolag,15
Aktiebolaget Trav Och Galopp,15
Ramboll Sweden Ab,14
Fluido Sweden Ab,14
"Citibank Europe Plc, Sverige Filial",14
Infor (Sweden) Ab,14
Stockholm School Of Economics,14
K Two Technology Consulting Ab,14
Lendo Ab,14
Swedq Ab,14
Anyfin Ab,14
Effekt Svenska Ab,14
Svea Bank Ab,14
Arelion Sweden Ab,14
Instabox Group Ab,13
Stockholm Eventsco Services Ab,13
Lg Electronics Nordic Ab,13
Ringtail Interactive Ab,13
Skg Stockholm Ab,13
Hexaware Technologies Nordic Ab,13
Avanade Sweden Ab,13
Nordic Green Food Ab,13
Husqvarna Ab,13
Incontext Ab,13
Åf-Infrastructure Ab,13
Trustly Group Ab,12
Allianceplus Ab,12
D & E Konditori Ab,12
Traton Ab,12
Kth,12
Air China Limited,12
Total Allservice Sthlm Ab,12
Tietoevry Tech Services Ab,12
United Parcel Service Sweden Aktiebolag,12
Storytel Sweden Ab,12
Dassault Systemes Ab,12
Uppsala Universitet,12
Public Clean I Stockholm Ab,12
Polarium Energy Solutions Ab,12
Fastdev Ab,12
Apsis International Ab,12
Stegra Ab,12
Accedo Broadband Ab,12
Cepheid Ab,12
Grillspaden Ab,12
"Wallenius Wilhelmsen Ocean As, Filial Sverige",12
Normative Ab,12
Nynas Ab,12
Tobii Dynavox Ab,11
Daresay Ab,11
Tech Mahindra Limited Indien Filial,11
Telefonaktiebolaget Lm Ericsson,11
Hemnet Ab,11
Umain Ab,11
Wsp Sverige Ab,11
Epiroc Rock Drills Aktiebolag,11
Arbetsförmedlingen,11
"Stift The Stockholm Environment Institute, Sei",11
Discovery Networks Sweden Ab,11
Taipei Mission In Sweden,11
Toca Boca Ab,11
Aktiebolaget Sandvik Coromant,11
Stiftelsen Borgen 2 - British International Scho,11
Mojang Ab,11
Max Burgers Ab,11
Einride Ab,11
Elekta Instrument Ab,11
Nordic Transport & It Services Ab,11
Stockholm International Peace Research Institute,10
The Absolut Company Aktiebolag,10
Intertek Semko Ab,10
Ibm Client Innovation Center Sweden Ab,10
Hammarby Fotboll Ab,10
Lagersupport Ab,10
Nordic Taxi Och Gods Transport Ab,10
Blueberry Innovations Sweden Ab,10
Alva Labs Ab,10
Bank Of China (Europe) S.A. Stockholm Filial,10
Oracle Svenska Aktiebolag,10
Fabrique Stockholm Ii Ab,10
Nytta Ab,10
Seb Pension Och Försäkring Ab,10
Itri Service Ab,10
Silex Microsystems Ab,10
Toteme Ab,10
Uppsala University,10
Direktstäd I Stockholm Ab,10
Grabbarna Flytt Sweden Ab,10
Marshall Group Ab (Publ),10
Funnel Ab,10
Ubisoft Entertainment Sweden Ab,10
Bombardier Transportation Sweden Ab,10
Fujitsu Sweden Ab,10
